                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.70671,                0.35358,                0.81371,                0.99276,                0.98386,                0.99444,                0.83822,                 0.6265,                0.32016,                0.80771,              0.0008615,              0.0008615,              0.0008615
                    118,                0.73804,                0.35918,                0.81878,                0.99321,                0.98396,                0.99446,                0.83826,                0.63137,                0.32247,                0.80822,              0.0008516,              0.0008516,              0.0008516
                    119,                0.72162,                0.35323,                0.81447,                0.99545,                0.98071,                0.99438,                0.83966,                 0.6238,                0.31735,                 0.8072,              0.0008417,              0.0008417,              0.0008417
                    120,                0.70461,                0.34796,                0.81403,                0.99588,                0.98207,                0.99423,                 0.8374,                0.62099,                0.32069,                0.80622,              0.0008318,              0.0008318,              0.0008318
                    121,                0.70607,                0.35142,                0.81546,                0.99673,                0.98476,                0.99439,                0.83466,                0.65014,                0.32806,                0.80998,              0.0008219,              0.0008219,              0.0008219
                    122,                0.72513,                0.35665,                0.81415,                0.99546,                0.98269,                0.99423,                0.83843,                 0.6292,                0.32078,                0.80791,               0.000812,               0.000812,               0.000812
                    123,                0.71951,                0.35382,                0.81432,                0.99624,                0.97759,                 0.9936,                0.82799,                0.63945,                0.32209,                0.80902,              0.0008021,              0.0008021,              0.0008021
                    124,                0.70786,                0.34986,                0.81527,                0.99409,                0.98342,                0.99445,                0.84064,                0.62569,                0.31396,                0.80718,              0.0007922,              0.0007922,              0.0007922
                    125,                0.69628,                0.34333,                0.81172,                0.99676,                0.98162,                0.99465,                0.84725,                0.60326,                0.31172,                0.80794,              0.0007823,              0.0007823,              0.0007823
                    126,                0.69549,                0.34309,                0.81377,                0.99546,                0.98237,                 0.9945,                0.84318,                0.62216,                0.31802,                0.80778,              0.0007724,              0.0007724,              0.0007724
                    127,                0.68492,                0.34376,                0.81411,                0.99644,                0.98431,                0.99466,                0.84064,                0.61953,                 0.3183,                0.80677,              0.0007625,              0.0007625,              0.0007625
